# fe1_exp_067_165_photoabs_1981Gur.dat                   
#
# Z = 67, A =165
# No. of entries:   30
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1981Gur  G.M.Gurevich, L.E.Lazareva, V.M.Mazur, et al.,; Nucl.Phys. A351, 257(1981).                                                                 
#    E         dE       f1           df1
     8.370     0.000    0.259E-06    0.207E-06
     8.780     0.000    0.306E-06    0.217E-06
     9.190     0.000    0.481E-06    0.236E-06
     9.660     0.000    0.350E-06    0.207E-06
     9.940     0.000    0.646E-06    0.227E-06
    10.370     0.000    0.636E-06    0.217E-06
    10.770     0.000    0.773E-06    0.201E-06
    11.190     0.000    0.118E-05    0.194E-06
    11.550     0.000    0.132E-05    0.195E-06
    11.970     0.000    0.180E-05    0.181E-06
    12.400     0.000    0.211E-05    0.175E-06
    12.800     0.000    0.170E-05    0.115E-06
    13.240     0.000    0.168E-05    0.590E-07
    13.660     0.000    0.137E-05    0.146E-06
    14.020     0.000    0.143E-05    0.136E-06
    14.390     0.000    0.152E-05    0.133E-06
    14.830     0.000    0.156E-05    0.105E-06
    15.250     0.000    0.150E-05    0.967E-07
    15.660     0.000    0.156E-05    0.177E-06
    15.990     0.000    0.119E-05    0.179E-06
    16.370     0.000    0.109E-05    0.175E-06
    16.810     0.000    0.117E-05    0.170E-06
    17.250     0.000    0.805E-06    0.181E-06
    17.580     0.000    0.651E-06    0.163E-06
    17.980     0.000    0.627E-06    0.178E-06
    18.360     0.000    0.468E-06    0.189E-06
    18.720     0.000    0.153E-06    0.185E-06
    19.120     0.000    0.508E-06    0.204E-06
    19.460     0.000    0.218E-06    0.214E-06
    19.870     0.000    0.297E-06    0.205E-06
