# fe1_exp_067_165_photoneut_1966Axe.dat                  
#
# Z = 67, A =165
# No. of entries:   25
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1966Axe  P.Axel, J.Miller, C.Schuhl, G.Tamas, C.Tzara; J.Phys.(Paris) 27, 262(1966).                                                                 
#    E         dE       f1           df1
     9.000     0.000    0.181E-06    0.359E-07
     9.690     0.000    0.576E-06    0.371E-07
    10.420     0.000    0.932E-06    0.380E-07
    11.020     0.000    0.145E-05    0.362E-07
    11.290     0.000    0.217E-05    0.271E-07
    11.630     0.000    0.213E-05    0.406E-07
    12.000     0.000    0.233E-05    0.666E-07
    12.330     0.000    0.213E-05    0.584E-07
    12.610     0.000    0.191E-05    0.567E-07
    13.000     0.000    0.181E-05    0.415E-07
    13.240     0.000    0.184E-05    0.544E-07
    13.650     0.000    0.177E-05    0.292E-07
    14.000     0.000    0.172E-05    0.540E-07
    14.240     0.000    0.174E-05    0.365E-07
    14.550     0.000    0.185E-05    0.549E-07
    15.240     0.000    0.216E-05    0.672E-07
    15.700     0.000    0.206E-05    0.417E-07
    16.410     0.000    0.209E-05    0.349E-07
    16.650     0.000    0.189E-05    0.395E-07
    17.000     0.000    0.187E-05    0.168E-07
    17.290     0.000    0.163E-05    0.257E-07
    17.650     0.000    0.149E-05    0.275E-07
    18.000     0.000    0.142E-05    0.482E-07
    18.290     0.000    0.118E-05    0.673E-07
    19.650     0.000    0.644E-06    0.728E-07
