# fe1_exp_067_165_photoneut_1968Be5.dat                  
#
# Z = 67, A =165
# No. of entries:   53
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1968Be5  R.Bergere, R.Beil, A.Veyssiere; Nucl. Phys. A121, 463(1968).                                                                                
#    E         dE       f1           df1
     8.350     0.000    0.313E-06    0.585E-07
     8.620     0.000    0.381E-06    0.582E-07
     8.890     0.000    0.466E-06    0.580E-07
     9.160     0.000    0.525E-06    0.577E-07
     9.440     0.000    0.586E-06    0.574E-07
     9.710     0.000    0.662E-06    0.573E-07
     9.980     0.000    0.765E-06    0.570E-07
    10.250     0.000    0.889E-06    0.569E-07
    10.520     0.000    0.106E-05    0.566E-07
    10.800     0.000    0.133E-05    0.565E-07
    11.070     0.000    0.157E-05    0.563E-07
    11.340     0.000    0.181E-05    0.562E-07
    11.610     0.000    0.216E-05    0.560E-07
    11.880     0.000    0.230E-05    0.559E-07
    12.160     0.000    0.230E-05    0.558E-07
    12.430     0.000    0.217E-05    0.556E-07
    12.700     0.000    0.201E-05    0.555E-07
    12.970     0.000    0.191E-05    0.554E-07
    13.240     0.000    0.182E-05    0.553E-07
    13.520     0.000    0.174E-05    0.552E-07
    13.790     0.000    0.174E-05    0.550E-07
    14.060     0.000    0.175E-05    0.550E-07
    14.330     0.000    0.181E-05    0.548E-07
    14.600     0.000    0.177E-05    0.548E-07
    14.880     0.000    0.182E-05    0.547E-07
    15.150     0.000    0.184E-05    0.546E-07
    15.420     0.000    0.183E-05    0.545E-07
    15.690     0.000    0.175E-05    0.545E-07
    15.960     0.000    0.170E-05    0.543E-07
    16.240     0.000    0.160E-05    0.539E-07
    16.510     0.000    0.147E-05    0.531E-07
    16.780     0.000    0.140E-05    0.527E-07
    17.050     0.000    0.128E-05    0.519E-07
    17.320     0.000    0.114E-05    0.511E-07
    17.600     0.000    0.103E-05    0.508E-07
    17.870     0.000    0.883E-06    0.500E-07
    18.140     0.000    0.794E-06    0.497E-07
    18.410     0.000    0.702E-06    0.490E-07
    18.680     0.000    0.613E-06    0.488E-07
    18.960     0.000    0.586E-06    0.485E-07
    19.230     0.000    0.492E-06    0.478E-07
    19.500     0.000    0.426E-06    0.476E-07
    19.770     0.000    0.410E-06    0.469E-07
    20.040     0.000    0.377E-06    0.467E-07
    20.320     0.000    0.365E-06    0.461E-07
    20.590     0.000    0.361E-06    0.455E-07
    20.860     0.000    0.350E-06    0.453E-07
    21.130     0.000    0.349E-06    0.447E-07
    21.400     0.000    0.351E-06    0.446E-07
    21.680     0.000    0.308E-06    0.444E-07
    21.950     0.000    0.312E-06    0.439E-07
    22.220     0.000    0.315E-06    0.437E-07
    22.490     0.000    0.361E-06    0.432E-07
