# fe1_exp_067_165_photoneut_1969Be8.dat                  
#
# Z = 67, A =165
# No. of entries:   46
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1969Be8  B.L.Berman, M.A.Kelly, R.L.Bramblett, J.T.Caldwell, H.S.Davis, S.C.Fultz; Phys. Rev., 185, 1576(1969).                                      
#    E         dE       f1           df1
     8.478     0.000    0.181E-06    0.243E-07
     8.788     0.000    0.276E-06    0.254E-07
     9.097     0.000    0.344E-06    0.257E-07
     9.407     0.000    0.393E-06    0.266E-07
     9.717     0.000    0.430E-06    0.264E-07
    10.026     0.000    0.579E-06    0.282E-07
    10.336     0.000    0.659E-06    0.270E-07
    10.646     0.000    0.810E-06    0.292E-07
    10.955     0.000    0.106E-05    0.324E-07
    11.265     0.000    0.133E-05    0.293E-07
    11.575     0.000    0.157E-05    0.290E-07
    11.885     0.000    0.186E-05    0.223E-07
    12.194     0.000    0.196E-05    0.285E-07
    12.504     0.000    0.202E-05    0.317E-07
    12.814     0.000    0.181E-05    0.282E-07
    13.123     0.000    0.171E-05    0.269E-07
    13.433     0.000    0.157E-05    0.249E-07
    13.743     0.000    0.151E-05    0.248E-07
    14.052     0.000    0.146E-05    0.251E-07
    14.362     0.000    0.147E-05    0.256E-07
    14.672     0.000    0.152E-05    0.262E-07
    14.982     0.000    0.157E-05    0.224E-07
    15.291     0.000    0.158E-05    0.274E-07
    15.601     0.000    0.155E-05    0.262E-07
    15.911     0.000    0.149E-05    0.258E-07
    16.220     0.000    0.133E-05    0.278E-07
    16.530     0.000    0.133E-05    0.214E-07
    16.840     0.000    0.125E-05    0.210E-07
    17.149     0.000    0.105E-05    0.145E-07
    17.459     0.000    0.974E-06    0.211E-07
    17.769     0.000    0.869E-06    0.276E-07
    18.079     0.000    0.715E-06    0.208E-07
    18.388     0.000    0.660E-06    0.248E-07
    18.698     0.000    0.598E-06    0.249E-07
    19.008     0.000    0.543E-06    0.218E-07
    19.317     0.000    0.449E-06    0.222E-07
    19.627     0.000    0.394E-06    0.239E-07
    19.937     0.000    0.387E-06    0.261E-07
    20.246     0.000    0.320E-06    0.266E-07
    20.556     0.000    0.271E-06    0.273E-07
    20.866     0.000    0.251E-06    0.268E-07
    21.176     0.000    0.240E-06    0.271E-07
    21.485     0.000    0.226E-06    0.269E-07
    21.795     0.000    0.183E-06    0.291E-07
    22.105     0.000    0.223E-06    0.272E-07
    22.414     0.000    0.205E-06    0.294E-07
