# fe1_exp_067_165_photoneut_2019Sub.dat                  
#
# Z = 67, A =165
# No. of entries:   33
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:    Subaru Collaboration, in press, (2019)                                                                                                              
#    E         dE       f1           df1
     8.510     0.000    0.278E-06    0.116E-07
     9.000     0.000    0.446E-06    0.212E-07
    10.010     0.000    0.760E-06    0.345E-07
    11.010     0.000    0.126E-05    0.544E-07
    11.400     0.000    0.158E-05    0.622E-07
    11.510     0.000    0.172E-05    0.684E-07
    11.920     0.000    0.214E-05    0.840E-07
    12.370     0.000    0.230E-05    0.942E-07
    12.880     0.000    0.218E-05    0.106E-06
    13.350     0.000    0.199E-05    0.984E-07
    13.870     0.000    0.182E-05    0.919E-07
    14.350     0.000    0.175E-05    0.808E-07
    14.850     0.000    0.176E-05    0.693E-07
    14.940     0.000    0.177E-05    0.695E-07
    15.070     0.000    0.179E-05    0.696E-07
    15.350     0.000    0.183E-05    0.701E-07
    15.580     0.000    0.183E-05    0.655E-07
    15.810     0.000    0.182E-05    0.602E-07
    16.040     0.000    0.176E-05    0.577E-07
    16.330     0.000    0.168E-05    0.555E-07
    16.560     0.000    0.158E-05    0.560E-07
    16.800     0.000    0.146E-05    0.564E-07
    17.290     0.000    0.118E-05    0.555E-07
    17.780     0.000    0.926E-06    0.545E-07
    18.270     0.000    0.739E-06    0.526E-07
    18.780     0.000    0.618E-06    0.474E-07
    19.240     0.000    0.533E-06    0.447E-07
    19.750     0.000    0.440E-06    0.422E-07
    20.220     0.000    0.369E-06    0.394E-07
    20.700     0.000    0.316E-06    0.368E-07
    21.230     0.000    0.280E-06    0.325E-07
    21.720     0.000    0.255E-06    0.287E-07
    22.210     0.000    0.243E-06    0.254E-07
